 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
BF0162	205	999	151	999	109	241	284	199	272	170
BF0163	197	163	151	194	103	250	284	211	284	168
BF0164	197	163	151	194	103	250	284	209	284	168
BF0165	197	165	151	194	109	253	284	215	284	168
BF0166	199	163	149	216	112	253	287	213	287	166
BF0167	199	163	149	216	112	253	287	213	287	166
BF0169	199	163	149	216	112	253	287	213	287	166
BF0170	199	163	149	216	112	253	287	213	287	166
BF0171	199	163	149	216	112	253	287	213	287	166
BF0172	197	163	151	194	103	250	284	211	284	168
BF0173	199	163	149	216	112	253	287	213	287	166
BF0174	199	163	149	216	112	253	287	211	287	166
BF0175	197	165	151	194	112	253	284	215	284	168
BF0177	197	165	151	194	115	253	284	215	284	168
BF0178	197	165	151	194	112	253	284	215	284	168
BF0179	197	165	151	194	112	253	284	215	284	168
BF0180	199	167	161	222	109	253	284	201	281	164
BF0181	199	165	151	194	112	253	284	213	284	168
BF0182	199	165	151	194	112	253	284	213	284	168
BF0183	199	165	151	194	112	253	284	213	284	168
BF0185	199	163	149	220	999	253	287	215	284	166
BF0186	199	163	149	220	106	253	287	215	284	166
BF0187	197	165	151	194	112	253	284	215	284	168
BF0188	195	167	149	194	112	268	287	217	281	168
BF0189	199	163	149	218	112	253	287	221	284	166
BF0190	197	165	151	194	112	253	284	215	284	168
BF0191	197	167	151	194	115	253	284	213	284	168
BF0192	197	999	149	192	130	268	284	219	281	166
BF0193	199	167	161	222	109	253	284	201	281	164
BF0195	199	167	151	194	112	253	284	213	284	168
BF0196	197	165	151	194	112	253	284	217	284	168
BF0197	199	159	149	216	112	253	287	213	284	166
BF0198	197	165	151	194	112	253	284	219	284	168
BF0199	197	165	151	194	112	253	284	217	284	999
BF0200	197	165	151	194	112	253	284	217	284	168
BF0201	197	165	151	194	112	253	284	217	284	168
BF0202	197	165	151	194	112	253	284	213	284	168
BF0203	197	163	151	194	103	250	284	211	284	168
BF0204	197	165	151	194	112	253	284	219	284	168
BF0205	197	163	151	196	112	250	284	211	284	168
BF0206	197	163	151	194	103	250	284	211	284	168
BF0207	199	167	151	194	112	253	284	213	284	168
BF0208	197	165	151	194	112	253	284	217	284	168
BF0209	197	165	151	194	112	253	284	217	284	168
BF0210	197	163	151	194	103	250	284	211	284	168
BF0211	197	163	151	194	103	250	284	211	284	168
BF0212	197	165	151	194	112	253	284	215	284	168
BF0213	197	165	151	194	112	253	284	215	284	168
BF0215	197	165	151	194	112	253	284	215	284	168
BF0218	199	163	149	216	112	253	287	213	287	166
BF0219	197	165	151	194	112	253	284	215	284	168
BF0220	197	999	151	194	112	253	284	215	284	168
BF0223	199	163	149	216	112	253	287	213	287	166
BF0224	197	163	151	194	103	250	284	209	284	168
BF0225	209	157	151	170	109	241	284	199	272	170
BF0226	197	165	999	194	112	253	284	215	287	168
BF0227	197	165	151	194	112	253	284	215	284	168
BF0228	199	163	149	216	112	253	287	213	287	166
BF0229	199	163	149	216	112	253	287	213	287	166
BF0230	199	163	149	216	112	253	287	211	287	166
BF0231	197	163	151	194	103	250	284	211	284	168
BF0232	197	163	151	194	100	250	284	209	284	168
BF0233	199	163	149	216	112	253	287	213	287	166
BF0234	197	163	151	194	103	250	284	211	284	168
BF0235	197	163	151	194	103	250	284	211	284	168
BF0236	197	163	151	194	103	250	284	211	284	168
BF0237	197	165	151	194	112	253	284	215	284	168
BF0238	197	163	151	194	103	250	284	211	284	168
BF0239	197	167	151	194	112	253	284	215	284	168
BF0241	197	163	151	194	103	250	284	211	284	168
BF0242	197	167	151	194	112	253	284	213	284	168
BF0243	197	165	151	194	112	253	284	213	284	168
BF0244	197	165	151	194	112	253	284	213	284	168
BF0245	197	163	159	196	109	250	284	211	281	168
BF0247	197	165	151	194	112	253	284	213	284	168
BF0249	197	165	151	194	112	253	284	213	284	168
BF0250	197	163	151	194	103	250	284	209	284	168
BF0251	197	163	151	194	103	250	284	209	284	168
BF0252	197	163	151	194	103	250	284	211	284	168
BF0253	197	163	151	194	103	250	284	209	284	170
BF0254	197	163	151	194	103	250	284	211	281	168
BF0255	197	165	151	194	112	253	284	215	284	168
BF0257	197	165	151	194	112	253	284	213	284	168
BF0258	197	163	151	194	103	250	284	211	284	168
BF0259	197	165	151	194	112	253	284	215	284	168
BF0260	197	165	151	194	112	253	284	215	284	168
BF0261	197	165	151	194	112	253	284	215	284	168
BF0262	197	165	151	194	112	253	284	215	284	168
BF0263	197	165	151	194	112	253	284	215	284	168
BF0265	197	163	151	194	103	250	284	211	284	168
BF0266	197	163	151	194	103	250	284	209	284	168
BF0268	197	163	151	194	103	250	284	211	284	168
BF0269	197	163	151	194	103	250	284	209	284	168
BF0270	199	165	151	212	112	253	284	213	284	168
BF0271	197	163	151	194	103	250	284	209	284	170
BF0272	197	163	151	194	112	250	284	209	284	168
BN0013	197	165	151	194	112	253	284	213	284	168
BN0019	197	165	151	194	112	253	284	217	269	168
BN0036	197	165	151	194	118	253	284	215	284	168
BN0037	197	165	151	194	118	253	284	215	284	168
BN0040	197	165	151	194	112	253	284	213	284	168
BN0042	197	165	151	194	118	253	284	215	284	168
BN0047	197	165	149	192	112	247	287	223	281	166
BN0049	197	175	149	194	112	268	287	217	281	166
BN0050	197	175	149	194	112	268	287	217	281	166
BN0051	197	167	151	194	112	253	284	215	284	168
BN0052	197	175	149	194	112	268	287	217	281	166
BN0053	197	167	151	194	112	253	284	215	284	168
BN0054	197	167	151	194	112	253	284	215	284	168
BN0055	197	167	151	194	112	253	284	215	284	168
BN0056	197	165	151	194	112	253	284	213	284	168
BN0057	197	165	151	194	112	253	284	213	284	168
BN0059	197	165	151	194	112	253	284	213	284	168
BN0060	197	165	151	194	112	253	284	213	284	168
BN0064	197	165	151	194	112	253	284	213	284	168
BN0065	197	167	151	194	112	253	284	215	284	168
BN0066	197	165	151	194	112	253	284	213	284	168
BN0069	197	165	151	194	112	253	284	211	284	168
BN0070	197	167	149	194	112	268	287	213	281	166
BN0071	197	165	151	194	112	253	284	211	284	168
