 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
MD0948	197	163	151	194	115	250	284	211	284	168
MD0952	197	163	151	194	115	253	284	211	284	168
MD0955	197	163	151	194	115	253	284	211	281	168
MD0982	197	163	151	194	118	253	284	211	284	168
MD0991	197	165	151	194	115	253	284	211	284	168
MD1000	197	163	151	194	115	253	284	211	284	168
MD1004	197	163	151	202	115	253	281	211	281	168
MD1010	197	163	149	194	118	253	284	211	284	168
MD1013	197	163	151	194	115	253	284	211	287	168
MD1026	197	163	151	202	115	253	284	211	284	168
MD1032	197	165	151	194	112	253	284	213	284	168
MD1034	197	163	151	200	115	253	287	211	287	168
MD1040	197	999	149	194	112	267	287	215	281	166
MD1044	197	163	151	200	118	253	284	211	284	168
MD1045	197	165	151	200	115	253	284	211	284	168
MD1046	197	163	151	200	115	253	284	211	284	168
MD1048	197	163	151	202	115	253	284	213	284	999
MD1049	197	163	151	200	115	253	284	211	284	168
MD1051	197	163	151	202	115	253	284	211	284	168
MD1054	197	163	151	196	115	999	287	211	287	999
MD1055	197	163	151	194	109	253	284	205	284	168
MD1057	197	163	149	202	115	253	284	211	284	168
MD1061	197	163	151	200	115	253	281	211	281	168
MD1068	197	163	151	200	115	253	281	211	281	168
MD1080	197	163	151	202	115	253	278	211	278	168
MD1087	197	163	155	194	115	253	281	211	278	168
MD1096	197	167	149	194	112	253	287	215	281	168
MD1098	197	163	145	194	115	253	281	211	281	168
MD1171	197	999	151	194	115	253	284	999	275	168
MD1201	197	163	151	194	115	253	284	211	284	168
MD1203	197	163	151	194	115	253	284	211	284	999
MD1208	197	163	151	194	118	253	278	213	281	168
MD1231	197	163	151	194	115	253	254	211	284	168
MD1246	197	163	151	194	115	253	284	211	284	168
MD1285	197	163	151	194	115	253	284	211	281	168
MD1331	197	163	151	192	115	253	284	211	284	166
MD1337	197	163	151	194	127	253	284	211	284	168
MD1341	197	163	151	192	115	253	284	211	284	168
MD1371	197	163	151	194	115	253	284	211	284	168
ML0025	197	165	151	194	112	253	284	215	284	168
ML0058	197	163	151	194	112	250	284	209	284	168
ML0059	199	177	159	212	109	250	284	201	281	164
ML0060	197	163	151	194	112	250	284	209	284	168
ML0061	197	163	159	194	109	250	284	209	281	168
ML0062	199	177	159	212	109	250	284	201	281	164
ML0063	199	177	159	212	109	250	284	201	281	164
ML0064	199	177	159	212	109	250	284	201	281	164
ML0065	197	165	151	194	112	253	284	217	284	168
ML0066	197	165	151	194	112	253	284	217	284	168
ML0067	197	163	151	194	112	250	284	209	284	168
ML0068	197	165	151	194	112	253	284	215	284	168
ML0069	197	165	151	194	112	253	284	215	284	168
ML0070	197	165	151	194	112	253	284	215	284	168
ML0071	197	165	151	194	112	253	284	215	284	168
ML0072	197	165	151	194	112	253	284	215	284	168
ML0073	197	165	151	194	112	253	284	215	284	168
ML0074	197	163	151	194	112	250	284	211	284	168
ML0079	197	163	151	194	112	250	284	211	284	168
MZ0002	197	165	151	194	112	253	284	215	284	168
NG0009	197	163	151	194	112	253	284	213	284	168
NG0010	197	169	151	196	112	253	284	215	284	168
NG0011	197	163	151	194	112	253	284	213	284	168
NG0012	197	169	151	196	112	253	284	215	284	168
NG0013	197	163	151	194	112	253	284	213	284	168
NG0014	197	163	151	194	112	253	284	213	284	168
NG0015	197	163	151	194	112	253	284	213	284	168
NG0016	197	163	151	194	112	253	284	213	284	168
NG0017	197	163	151	194	112	253	284	213	284	168
NG0018	197	163	151	194	112	253	284	213	284	168
NG0019	197	165	151	194	112	253	284	213	284	168
NG0020	197	165	151	194	112	253	284	217	284	168
NG0023	197	165	151	194	112	253	284	213	284	168
NG0025	197	163	151	194	112	253	284	213	284	168
NG0026	201	163	151	194	103	250	284	211	284	168
NG0027	197	165	151	194	112	253	284	213	284	168
NG0028	197	163	151	194	112	253	284	213	284	168
NG0029	197	163	151	194	112	253	284	213	284	168
NG0030	197	163	151	194	112	253	284	213	284	168
NG0031	197	165	151	194	112	253	284	217	284	168
NG0032	197	165	151	194	112	253	284	213	284	168
NG0033	197	165	151	194	112	253	284	213	284	168
NG0034	197	165	151	194	112	253	284	213	284	168
NG0035	197	163	151	194	112	253	284	213	284	168
NG0036	197	165	151	194	112	253	284	213	284	168
NG0037	197	165	151	194	112	253	284	213	284	168
NG0038	197	163	151	194	112	253	284	213	284	168
NG0039	197	165	151	194	112	253	284	213	284	168
NG0040	197	165	151	194	112	253	284	213	284	168
NG0041	197	165	151	194	112	250	284	213	284	168
NG0042	197	165	151	194	112	253	284	213	284	168
NG0043	197	163	151	194	112	253	284	213	284	168
NG0044	197	163	151	194	112	253	284	213	284	168
NG0046	197	163	151	194	112	253	284	213	284	168
NG0047	197	165	151	194	112	253	284	213	284	168
NG0048	197	163	151	194	112	253	284	213	284	168
NG0050	197	163	151	194	112	253	284	213	284	168
NG0051	197	163	151	194	112	253	284	213	284	168
NG0052	197	163	151	194	112	253	284	213	284	168
NG0053	197	163	151	194	112	253	284	213	284	168
NG0054	197	163	151	194	112	253	284	213	284	168
NG0055	197	163	151	194	112	253	284	213	284	168
NG0056	197	165	151	194	112	253	284	213	284	168
NG0057	197	163	151	194	112	253	284	213	284	168
NG0058	197	163	151	194	112	253	284	213	284	168
NG0059	197	163	151	194	112	253	284	213	284	168
NG0060	197	163	151	194	112	253	284	213	284	168
NG0061	197	165	151	194	133	253	284	215	284	168
NG0062	197	163	151	194	112	253	284	213	284	168
NG0063	197	163	151	194	112	253	284	213	284	168
NG0064	197	163	151	194	112	253	284	213	284	168
NG0065	197	165	151	216	112	253	284	217	284	168
NG0066	197	165	151	194	112	253	284	213	284	168
NG0067	197	165	151	194	112	253	284	213	284	168
NG0068	197	163	151	194	112	253	284	213	284	168
NG0069	197	165	151	194	112	253	284	213	284	168
NG0070	197	165	151	194	112	253	284	213	284	168
NG0071	197	165	151	194	112	253	284	213	284	168
NG0072	197	165	151	194	112	253	284	213	284	168
NG0073	197	165	151	194	112	253	284	213	284	168
NG0074	197	165	151	194	112	253	284	213	284	168
NG0075	197	165	151	194	112	253	284	213	284	168
NG0076	197	163	151	194	112	250	284	209	284	168
NG0077	197	163	151	194	112	253	284	213	284	168
NG0078	197	165	151	194	112	253	284	213	284	168
NG0080	197	163	151	194	112	253	284	213	284	168
NG0081	197	165	151	194	112	253	284	213	284	168
NG0082	197	163	151	194	112	253	284	213	284	168
NG0083	197	163	151	194	112	250	284	209	284	168
NG0084	197	165	151	194	112	253	284	213	284	168
NG0085	197	165	151	194	112	253	284	213	284	168
NG0086	197	163	151	194	112	250	284	209	284	168
NG0087	197	163	151	194	112	250	284	209	284	168
NG0088	199	177	159	212	109	250	284	201	281	164
NG0089	197	165	151	194	112	253	284	217	284	168
NG0090	197	165	151	194	112	253	284	213	284	168
NG0091	197	163	151	194	112	253	284	213	284	168
NG0092	197	163	151	194	112	253	284	213	284	168
NG0093	197	165	151	194	112	253	284	213	284	168
NG0094	197	165	151	194	112	253	284	213	284	168
NG0095	197	163	151	194	112	253	284	211	284	168
NG0096	197	163	151	194	112	253	284	213	284	168
NG0097	197	165	151	194	112	253	284	211	284	168
NG0098	197	165	151	194	112	253	284	211	284	168
NG0099	197	165	151	194	112	253	284	211	284	168
NG0100	197	163	151	194	112	253	284	211	284	168
NG0101	197	165	151	194	112	253	284	999	284	168
NG0102	197	163	999	194	112	253	284	213	999	170
NG0103	197	163	151	999	112	253	284	213	284	168
NG0104	197	165	151	194	112	253	284	217	284	168
NG0105	197	163	151	194	112	253	284	211	284	168
NG0106	197	163	151	194	112	253	284	213	284	168
NG0107	197	165	151	194	112	253	284	211	284	168
NG0108	197	165	151	194	112	253	284	211	284	168
NG0109	197	165	151	194	112	253	284	211	284	168
NG0110	197	165	151	194	112	253	284	215	284	168
NG0111	197	165	151	194	112	253	284	213	284	168
NG0113	197	163	151	194	112	253	284	213	284	168
NG0115	197	163	151	194	112	253	284	211	284	168
NG0116	197	163	151	194	112	253	284	211	284	168
NG0117	197	165	151	194	112	253	284	211	284	168
NG0118	197	165	151	194	112	268	287	213	284	166
NG0119	197	163	151	194	112	253	284	213	284	168
NG0120	197	163	151	194	112	253	284	213	284	168
NG0121	197	171	151	194	112	268	287	211	284	166
NG0122	197	163	151	194	112	253	284	213	284	168
NG0123	197	163	151	194	112	253	284	211	284	168
NG0124	197	165	151	194	112	253	284	211	284	168
NG0125	197	165	151	194	112	253	284	999	284	168
NG0126	197	163	151	194	112	253	284	213	999	168
NG0127	197	163	151	194	112	253	284	213	284	168
NG0128	197	165	151	194	112	253	284	213	284	168
NG0129	197	163	151	194	112	253	284	211	284	168
NG0130	197	163	151	194	112	253	284	213	284	168
NG0131	197	163	151	194	112	253	284	211	284	168
NG0132	197	163	151	194	112	253	284	211	284	168
NG0133	197	163	151	194	112	253	284	999	284	168
NG0134	197	165	151	194	112	253	284	211	284	168
NG0135	197	163	167	194	124	253	284	211	278	168
NG0136	197	163	151	194	115	253	284	211	284	168
NG0137	197	999	151	194	112	253	284	213	284	168
NG0138	197	163	151	194	112	253	284	211	284	168
NG0139	197	163	151	194	112	253	284	211	284	168
NG0140	197	163	151	194	112	253	284	211	284	168
NG0141	197	163	151	194	112	253	284	211	284	168
NG0142	197	165	151	194	112	253	284	211	284	168
NG0143	197	163	151	194	112	253	284	213	284	168
NG0144	197	163	151	194	112	253	284	213	284	168
NG0145	197	163	151	194	112	253	284	213	284	168
NG0146	197	165	151	194	112	253	284	213	284	170
NG0147	197	163	151	194	112	253	284	211	284	168
NG0148	197	165	151	194	112	253	284	217	284	168
NG0149	197	165	151	194	112	253	284	213	284	168
NG0150	197	163	149	194	112	253	284	213	284	168
NG0151	197	163	151	194	112	253	284	213	284	168
NG0152	197	165	151	194	112	253	284	213	284	168
NG0153	197	163	151	194	112	253	284	213	284	168
NG0154	197	163	151	194	112	253	284	213	284	168
NG0155	197	163	151	194	112	253	284	211	284	168
NG0156	197	165	151	194	112	253	284	211	284	168
NG0157	197	163	151	194	112	253	284	213	284	168
NG0158	197	163	151	194	112	253	284	213	284	168
NG0159	197	163	151	194	112	253	284	213	284	168
NG0160	197	165	151	194	112	253	284	213	284	168
NG0161	197	165	151	194	112	253	284	213	284	168
NG0162	197	163	151	194	112	253	284	213	284	168
NG0163	197	165	151	194	112	253	284	211	284	168
NG0164	197	165	151	194	112	253	284	211	284	168
NG0165	197	165	151	194	112	253	284	213	284	168
NG0166	197	165	151	194	112	253	284	213	284	168
NG0167	197	163	151	194	112	253	284	213	284	168
NG0168	197	163	151	194	112	253	284	213	284	168
NG0169	197	165	151	194	112	253	284	213	284	168
NG0170	197	163	151	194	112	253	284	211	284	168
NG0171	197	163	151	194	112	253	284	211	284	168
NG0172	197	163	151	194	112	253	284	211	284	168
NG0173	197	165	151	194	112	253	284	213	284	168
NG0174	197	163	151	194	112	253	284	213	284	168
NG0175	197	163	151	194	112	253	284	213	284	168
NG0176	197	165	151	194	112	253	284	213	284	168
NG0177	197	165	151	194	112	253	284	203	284	168
NG0178	197	163	151	194	112	253	284	213	284	168
NG0179	197	163	151	194	112	253	284	211	284	168
NG0180	197	165	151	194	112	253	284	213	284	168
NG0181	197	163	151	194	112	253	284	213	284	168
NG0182	197	163	151	194	112	253	284	211	284	168
NG0183	197	165	151	194	112	253	284	211	284	168
NG0184	197	163	151	194	112	253	284	213	284	168
NG0185	197	163	151	194	112	253	284	213	284	168
NG0186	197	163	151	194	112	253	284	213	284	168
NG0187	197	165	151	194	112	253	284	217	284	168
NG0188	197	163	151	194	112	253	284	213	284	168
NG0189	197	165	151	194	112	253	284	213	284	168
NG0190	197	165	151	194	112	253	284	213	284	170
NG0191	197	163	151	194	115	253	284	213	284	168
NG0192	197	163	151	200	112	253	284	213	284	168
NG0193	197	165	151	194	112	253	284	217	284	168
NG0194	197	163	151	194	112	253	284	213	284	168
NG0195	197	163	151	194	112	253	284	213	284	168
NG0196	197	165	151	194	112	253	284	213	284	168
NG0197	197	165	151	194	112	253	284	217	284	168
NG0198	197	163	151	194	112	253	284	213	284	168
NG0199	197	163	151	194	112	253	284	213	284	168
NG0200	197	165	151	194	112	253	284	213	284	168
NG0201	197	163	151	194	112	253	299	213	284	168
NG0202	197	165	151	194	112	253	284	213	284	168
NG0203	197	165	151	194	112	253	284	213	284	168
NG0204	197	165	151	194	112	253	284	213	284	168
NG0205	197	163	151	194	112	250	284	209	284	168
NG0206	197	163	151	194	112	253	284	213	284	168
NG0207	197	163	151	194	112	253	284	213	284	168
NG0208	197	163	151	194	112	253	284	213	284	168
NG0209	197	165	151	194	112	253	284	213	284	168
NG0210	197	165	151	194	112	253	284	213	284	999
NG0211	197	163	151	194	112	253	284	213	284	168
NG0212	197	163	151	194	999	253	284	213	284	168
NG0213	197	165	151	194	112	253	284	213	284	168
NG0214	197	163	151	194	112	253	284	213	284	168
NG0215	197	163	151	194	112	253	284	213	284	168
NG0216	197	163	151	194	112	253	284	213	284	168
NG0217	197	165	151	194	112	253	284	213	284	168
NG0218	197	165	151	194	112	253	284	213	284	168
NG0219	197	163	151	194	112	253	284	213	284	168
NG0221	197	165	151	194	112	253	284	213	284	168
NG0222	197	165	151	194	112	253	284	213	284	168
NG0223	197	163	151	194	112	253	284	213	284	168
NG0229	197	163	151	194	112	253	284	213	284	168
NG0230	197	163	151	194	112	253	284	213	284	168
NG0231	197	165	151	194	112	253	284	213	284	168
NG0233	197	163	151	194	112	253	284	213	284	168
NG0234	197	165	151	194	112	253	284	213	284	168
NG0235	197	163	151	194	112	253	284	213	284	168
NG0237	197	165	151	194	112	253	284	213	284	168
NG0238	197	163	151	194	112	253	284	213	284	168
NG0239	197	163	151	194	112	253	284	213	284	168
NG0240	197	163	151	194	112	256	284	213	284	168
NG0241	197	163	151	194	112	253	284	213	284	168
NG0242	197	165	151	194	112	253	284	213	284	168
NG0244	197	163	151	194	112	253	284	213	284	168
NG0245	197	171	149	194	112	268	287	213	281	166
NG0246	197	163	151	194	112	253	284	213	284	168
NG0247	197	163	151	194	112	253	284	213	284	168
NG0248	197	163	151	194	112	253	284	213	284	168
NG0249	197	165	151	194	112	253	284	213	284	168
NG0251	197	163	151	194	112	253	284	213	284	168
NG0252	197	165	151	194	112	253	284	213	284	168
NG0253	197	163	151	194	112	253	284	213	284	168
NG0254	197	163	151	194	112	253	284	213	284	168
NG0255	197	163	151	194	112	253	284	213	284	168
NG0256	197	165	151	194	112	253	284	217	284	168
NG0257	197	163	151	194	112	253	284	213	284	168
NG0259	197	165	151	194	112	253	284	213	284	168
NG0260	197	163	151	194	112	253	284	213	284	168
NG0261	197	163	151	194	112	253	284	213	284	168
NG0262	197	163	151	194	112	253	284	213	284	168
NG0263	197	163	151	194	112	253	284	213	284	168
NG0264	197	163	151	194	112	253	284	213	284	168
NG0265	197	165	151	194	112	253	284	217	284	168
NG0266	197	165	151	194	112	253	284	213	284	168
NG0267	197	163	151	194	112	253	284	213	284	168
NG0269	197	165	151	194	112	253	284	213	284	168
NG0270	197	163	151	194	112	253	284	213	284	168
NG0271	197	163	151	194	112	253	284	213	284	168
NG0272	197	163	151	194	112	253	284	213	284	168
NG0273	197	163	151	194	112	253	284	213	284	168
NG0276	197	165	151	194	112	253	284	213	284	168
NG0277	197	163	151	194	112	253	284	213	284	168
NG0280	197	163	151	194	112	253	284	213	284	168
NR0001	197	173	151	194	112	268	287	217	281	166
NR0002	197	173	151	194	112	268	287	217	281	166
NR0003	197	175	151	194	112	268	287	215	281	166
NR0004	201	157	151	170	109	241	284	201	269	174
NR0005	201	157	151	170	109	241	284	201	269	174
NR0006	197	157	151	170	109	241	284	199	269	174
NR0007	201	157	151	170	109	241	284	201	269	174
NR0009	197	165	151	194	115	253	284	215	284	168
NR0010	197	165	151	194	115	253	284	215	284	168
NR0011	197	165	151	194	115	253	284	215	284	168
NR0012	197	165	151	194	115	253	284	215	284	168
NR0013	197	165	151	194	115	253	284	215	284	168
NR0014	201	157	151	170	109	241	284	199	269	174
NR0015	199	157	151	170	109	241	284	199	269	174
NR0016	201	157	151	170	109	241	284	201	269	174
NR0017	201	157	151	170	109	241	284	201	269	174
NR0018	201	157	151	170	109	241	284	201	269	174
NR0019	199	157	151	170	109	241	284	201	269	174
NR0020	199	157	151	170	109	241	284	201	269	174
NR0021	199	157	151	170	109	241	284	201	269	174
NR0022	199	157	151	170	109	241	284	201	269	174
NR0023	199	157	151	170	109	241	284	201	269	174
NR0024	197	157	151	999	109	241	284	201	269	174
NR0025	199	157	151	170	109	241	284	201	269	174
NR0026	201	157	151	170	109	241	284	201	269	174
NR0027	201	157	151	170	109	241	284	999	269	174
NR0028	201	157	151	170	109	241	284	201	269	174
NR0029	999	157	151	170	109	241	284	201	269	174
NR0031	203	157	151	170	109	241	284	201	272	999
NR0033	203	157	151	170	109	241	284	201	272	999
NR0034	203	157	151	170	109	241	284	201	272	999
NR0035	203	157	151	170	109	241	284	201	272	999
NR0036	203	157	151	170	109	241	284	201	272	999
NR0037	203	157	151	170	109	241	284	201	272	999
NR0038	203	157	151	170	109	241	284	201	272	999
NR0039	203	157	151	170	109	241	284	201	272	999
NR0040	203	157	151	170	109	241	284	201	272	999
NR0041	201	157	151	170	109	241	284	201	269	174
NR0043	201	157	151	170	109	241	284	201	269	174
NR0044	201	157	151	170	109	241	284	201	269	999
NR0045	201	157	151	170	109	241	284	201	269	174
NR0046	197	169	151	194	112	253	284	221	284	168
NR0047	197	169	151	194	112	253	284	221	284	168
NR0048	197	169	151	194	112	253	284	221	284	168
NR0049	197	169	151	194	112	253	284	221	284	168
NR0050	197	169	151	194	112	253	284	221	284	168
NR0051	197	169	151	194	112	253	284	221	284	168
OG0007	197	163	149	226	112	247	287	213	287	166
OG0008	197	163	149	226	112	247	287	213	287	999
OG0009	197	999	151	194	112	253	284	221	284	168
OG0010	197	163	149	226	112	247	287	217	287	166
OG0011	197	163	149	226	112	247	287	211	287	166
TG0001	197	167	151	194	112	253	284	213	284	168
TG0002	197	167	151	194	112	253	284	213	284	168
TG0003	199	167	151	194	109	253	284	201	281	164
TG0004	199	189	165	218	109	253	284	201	281	164
TG0005	197	169	151	194	112	253	284	213	284	168
TG0006	197	167	151	194	112	253	284	213	284	168
TG0007	197	167	151	194	112	253	284	213	284	168
TG0008	199	187	165	218	109	253	284	201	281	164
TG0009	197	167	151	194	112	253	284	213	284	168
TG0010	197	167	151	194	112	253	284	213	284	168
TG0011	197	167	151	194	112	253	284	213	284	168
TG0012	197	167	151	194	112	253	284	213	284	168
TG0013	197	167	151	194	112	253	284	213	284	168
TG0014	197	167	151	194	112	253	284	213	284	168
TG0015	197	167	151	194	112	253	284	213	284	168
TG0016	197	167	151	194	112	253	284	213	284	168
TG0017	197	167	151	194	112	253	284	213	284	168
TG0018	197	167	151	194	112	253	284	213	284	168
TG0019	197	167	151	194	112	253	284	213	284	168
TG0020	197	167	151	194	112	253	284	213	284	168
TG0021	197	167	151	194	112	253	284	213	284	168
TG0022	197	167	151	194	112	253	284	213	284	168
TG0023	197	167	151	194	112	253	284	213	284	168
TG0024	199	187	165	218	109	253	284	201	281	164
TG0025	197	167	151	194	112	253	284	213	284	168
TG0026	197	167	151	194	112	253	284	213	284	168
TG0027	197	167	151	194	112	253	284	213	284	168
TG0028	199	187	165	218	109	253	284	201	281	164
TG0029	197	167	151	194	112	253	284	213	284	168
TG0030	197	167	151	194	112	253	284	215	284	168
TG0031	197	167	151	194	112	253	284	213	284	168
TG0032	197	187	151	194	112	253	284	213	284	168
TG0033	197	167	151	194	112	253	284	213	284	168
TG0034	197	167	151	194	112	253	284	213	284	168
TG0035	197	167	151	194	112	253	284	213	284	168
TG0036	199	189	165	218	109	253	284	201	281	164
TG0037	197	167	151	194	112	253	284	213	284	168
TG0038	197	167	151	194	112	253	284	213	284	168
TG0039	199	189	165	218	109	253	284	201	281	164
TG0040	199	189	165	218	109	253	284	201	281	164
TG0042	199	189	165	218	109	253	284	201	281	164
TG0043	199	189	165	218	109	253	284	201	281	164
TG0044	199	999	149	220	112	253	284	201	281	164
TG0045	199	185	169	218	112	253	284	219	281	166
TG0046	199	185	169	218	112	253	284	219	281	166
TG0047	197	167	151	194	112	253	284	213	284	168
TG0049	197	167	151	194	112	253	284	213	284	168
TG0050	197	167	151	194	112	253	284	213	284	168
TG0052	199	185	169	218	112	253	284	219	281	166
TG0053	197	197	159	222	112	253	284	201	284	164
TG0054	197	165	151	196	112	253	284	211	284	170
TG0055	197	167	151	194	112	253	284	213	284	168
TG0056	197	167	149	194	112	271	287	217	281	166
TG0057	197	167	151	194	112	253	284	213	284	168
TG0058	199	167	165	218	112	253	284	221	281	166
TG0060	197	191	163	214	109	253	284	201	281	164
TG0061	197	167	151	194	112	253	284	213	284	168
TG0062	197	165	151	194	112	253	284	215	284	168
TG0063	197	165	151	194	112	253	284	213	284	168
TG0064	199	167	165	218	112	253	284	219	281	166
TG0065	199	193	161	220	112	253	284	201	281	164
TG0066	197	167	151	194	112	253	284	213	284	168
TG0067	197	167	151	194	112	253	284	213	284	168
TG0068	199	999	151	218	112	253	284	219	281	166
TG0069	197	165	149	194	112	253	999	213	284	166
TN0001	199	167	151	216	109	259	281	217	281	166
TN0002	199	167	151	216	109	259	281	215	281	166
TN0003	199	167	151	218	109	259	281	215	281	166
TN0004	199	167	151	216	109	259	281	215	281	166
TN0005	197	163	149	222	999	247	287	213	287	166
TN0006	199	167	151	216	109	259	281	215	281	166
TN0007	197	163	149	999	112	247	287	215	287	166
TN0008	197	163	149	224	112	247	287	999	287	166
TN0009	199	167	151	216	109	259	281	215	281	166
TN0011	199	167	151	216	109	259	281	215	281	166
TN0012	199	167	151	216	109	259	281	215	281	166
TN0013	199	167	151	216	109	259	281	215	281	166
TN0014	199	167	151	218	109	259	281	215	281	166
TN0015	199	167	151	218	109	259	281	215	281	166
TN0016	199	167	151	216	109	259	281	213	281	166
TN0017	199	167	151	216	109	259	281	215	281	166
TN0019	199	167	151	216	109	259	281	215	281	166
TN0020	199	167	151	216	109	259	281	215	281	166
TN0021	199	167	151	216	109	259	281	215	281	166
TN0022	199	167	151	218	109	259	281	215	281	166
TN0023	199	167	151	216	109	259	281	217	281	166
TN0024	199	167	151	216	109	259	281	215	281	166
TN0025	199	167	151	218	109	259	281	215	281	166
TN0026	199	167	151	218	109	259	281	215	281	166
TN0027	199	167	151	216	109	259	281	215	281	166
TN0028	199	167	151	214	109	259	281	215	281	166
TN0029	199	167	151	216	109	259	281	215	281	166
TN0030	199	167	151	216	109	259	281	215	281	166
TN0031	199	167	151	216	109	259	281	215	281	166
TN0032	199	167	151	216	109	259	281	215	281	166
TN0033	199	167	151	216	109	259	281	215	281	166
TN0034	199	167	151	216	109	259	281	215	281	166
TN0035	197	163	149	222	112	247	287	215	287	166
TN0036	199	167	151	216	109	259	281	215	281	166
TN0037	197	163	149	222	112	247	287	215	287	166
TN0038	197	163	149	222	112	247	287	213	287	166
TN0039	199	167	151	216	109	259	281	215	281	166
TN0040	197	163	149	222	112	247	287	215	287	166
TN0041	199	167	151	216	109	259	281	215	281	166
TN0042	197	163	149	222	112	247	287	215	287	166
TN0043	199	167	151	216	109	259	281	215	281	166
TN0044	197	163	149	222	112	247	287	215	287	166
TN0045	197	163	149	222	121	247	287	215	287	166
TN0046	199	167	151	999	109	259	281	215	281	166
TN0047	197	163	149	999	112	247	287	217	287	166
TN0048	197	163	149	222	112	247	287	215	287	166
TN0049	199	167	151	216	109	259	281	215	281	166
TN0050	197	163	149	222	112	247	287	215	287	166
TN0051	199	167	151	216	109	259	281	215	281	166
TN0052	199	167	151	216	109	259	281	215	281	166
TN0053	199	167	151	216	109	259	281	215	281	166
TN0054	199	167	151	216	109	259	281	215	281	166
TN0055	199	167	151	216	109	259	281	215	281	166
TN0056	199	167	151	216	109	259	281	215	281	166
TN0057	197	163	149	224	112	247	287	213	287	166
TN0058	197	163	149	224	112	247	287	213	287	166
TN0059	199	167	151	216	109	259	281	215	281	166
TN0060	197	163	149	222	112	247	287	217	287	166
TN0061	199	167	151	216	109	259	281	215	281	166
TN0062	199	167	151	216	109	259	281	215	281	166
TN0064	199	167	151	216	109	259	281	215	281	166
TN0065	199	167	151	216	109	259	281	213	281	166
TN0066	199	167	151	218	109	259	281	215	281	166
TN0067	199	167	151	216	109	259	281	215	281	166
TN0068	197	163	149	220	112	247	287	215	287	166
TN0069	199	167	151	216	109	259	281	215	281	166
TN0070	197	165	149	220	112	247	287	213	287	166
TN0071	199	167	151	216	109	259	281	215	281	166
TN0072	199	167	151	216	109	259	281	215	281	166
TN0073	199	167	151	216	109	259	281	215	281	166
TN0074	199	167	151	216	109	259	281	215	281	166
TN0075	199	167	151	216	109	259	281	215	281	166
TN0076	199	167	151	216	109	259	281	215	281	166
TN0077	199	167	151	216	109	259	281	215	281	166
TN0078	197	163	149	220	112	247	287	217	287	166
TN0079	199	167	151	216	109	259	281	215	281	166
TN0080	197	163	149	220	112	247	287	215	287	166
TN0081	199	167	151	216	109	259	281	215	281	166
TN0082	199	167	151	216	109	259	281	215	281	166
TN0083	199	167	151	216	109	259	281	215	281	166
TN0084	199	167	151	216	109	259	281	215	281	166
TN0085	199	167	151	216	109	259	281	215	281	166
TN0086	199	167	151	218	109	259	281	215	281	166
TN0088	197	163	149	220	112	247	287	217	287	166
TN0089	197	163	149	220	112	247	287	215	302	166
TN0090	199	167	151	214	109	259	281	215	281	166
TN0091	199	167	151	216	109	259	281	215	281	166
TN0092	199	167	151	216	109	259	281	215	281	166
TN0093	199	167	151	216	109	259	281	215	281	166
TN0094	199	167	151	216	109	259	281	215	281	166
TN0096	199	167	151	216	109	259	281	215	281	166
TN0097	199	167	151	216	109	259	281	215	281	166
TN0098	197	163	149	220	112	247	287	217	287	166
TN0099	199	167	151	216	109	259	281	215	281	166
SN0009	999	163	151	194	112	250	284	211	284	168
CH0328	197	167	151	194	112	253	284	213	284	168
CH0336	197	165	151	194	112	253	284	217	284	168
CH0337	197	169	151	194	112	253	284	213	281	168
CH0338	197	165	149	194	112	268	290	215	284	166
CH0446	201	165	151	192	112	259	287	215	284	168
CH0452	199	163	151	198	112	262	287	221	284	170
CH0454	199	163	169	220	112	253	287	999	284	170
CH0456	197	169	151	194	112	253	999	211	284	168
CH0460	199	167	151	212	109	259	284	211	284	168
CH0461	199	163	169	999	112	253	284	209	284	170
CH0462	199	163	999	999	112	253	287	211	284	170
CH0465	199	169	169	220	112	253	287	999	284	170
CH0472	197	171	149	194	112	268	287	215	278	166
CH0473	199	165	151	194	100	253	284	211	278	166
CH0475	199	999	151	999	109	280	284	217	281	168
CH0531	197	165	149	194	109	259	287	215	284	166
CH0532	197	169	149	194	112	268	287	217	278	166
CH0533	197	165	151	192	109	259	287	215	278	166
CH0539	199	999	151	194	109	268	287	215	284	166
CH0540	197	165	163	194	109	259	999	217	999	166
CH0549	197	165	151	194	115	253	284	215	284	166
CH0550	199	165	149	194	109	259	287	219	293	166
CH0551	199	171	149	194	112	259	287	217	293	166
CH0552	197	169	149	196	115	268	287	217	278	166
CH0553	197	169	149	194	112	268	287	999	281	168
CH0556	197	171	149	194	112	268	287	215	278	168
CH0561	199	167	151	194	109	253	999	999	284	166
CH0562	199	165	149	194	109	256	287	219	293	166
CH0564	199	165	151	194	109	259	999	211	284	166
CH0565	199	165	153	194	112	259	287	215	287	168
CH0566	197	165	151	194	115	253	284	215	284	168
CH0567	197	167	161	194	109	259	287	217	287	166
CH0571	199	165	149	194	109	253	287	215	287	168
CH0574	197	171	151	194	112	253	287	215	278	166
CH0578	197	167	151	194	112	250	284	211	284	168
CH0581	197	171	151	194	112	268	287	215	278	166
CH0675	197	169	149	194	112	268	290	213	281	166
CH0676	197	169	149	194	118	268	290	217	281	166
