fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P05_1	1	278535	133	16981	6.09654082969824	NA
Mock_P05_1	2	265213	104	9159	3.45345062270703	NA
Mock_P05_1	3	294031	118	14838	5.0464066714054	NA
Mock_P05_1	4	260510	99	10734	4.12037925607462	NA
Mock_P05_1	5	268426	80	9969	3.7138727246988	NA
Mock_P05_1	6	261793	106	14290	5.45851111374254	NA
Mock_P05_1	7	319918	147	17736	5.54392062966135	NA
Mock_P05_1	8	373217	149	15311	4.10243906360107	NA
Mock_P05_1	9	340636	183	19489	5.72135652133069	NA
Mock_P05_1	10	330594	137	13985	4.23026431211698	NA
Mock_P05_1	11	359896	132	15839	4.40099362037922	NA
Mock_P05_1	12	348868	150	19541	5.60125892887854	NA
