fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P08_2	1	225210	1	58	0.0257537409528884	NA
Mock_P08_2	2	315364	1	0	0	0
Mock_P08_2	3	287289	1	0	0	0
Mock_P08_2	4	289524	3	64	0.022105248614968	NA
Mock_P08_2	5	257251	2	26	0.0101068606147304	NA
Mock_P08_2	6	256826	1	0	0	0
Mock_P08_2	7	228979	86	8250	3.60295048890946	NA
Mock_P08_2	8	274538	63	5462	1.98952421886952	NA
Mock_P08_2	9	328109	54	5134	1.56472391796629	NA
Mock_P08_2	10	348731	133	16006	4.58978410293321	NA
Mock_P08_2	11	260641	128	13609	5.22135811326691	NA
Mock_P08_2	12	258155	129	16599	6.42985803102787	NA
Mock_P08_2	13	315987	102	13515	4.27707468978154	NA
Mock_P08_2	14	323433	114	15193	4.69741801238587	NA
Mock_P08_2	15	334193	106	11042	3.30407878082425	NA
Mock_P08_2	16	322047	164	19385	6.0193077407956	NA
Mock_P08_2	17	292735	85	9399	3.21075375339471	NA
Mock_P08_2	18	342332	139	12385	3.617832980849	NA
Mock_P08_2	19	306352	76	9093	2.96815428004387	NA
Mock_P08_2	20	308322	123	11994	3.89008893299862	NA
Mock_P08_2	21	313425	78	7903	2.5214963707426	NA
