fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
retardataires_2	1	235343	45	3924	1.66735360728809	NA
retardataires_2	2	279822	94	8274	2.95687973068594	NA
retardataires_2	3	291332	86	7466	2.5627119574918	NA
retardataires_2	4	293408	96	11784	4.0162504089868	NA
retardataires_2	5	204356	75	8720	4.26706336001879	NA
retardataires_2	6	277376	114	12481	4.49966832025842	NA
retardataires_2	7	297208	74	7307	2.45854754919114	NA
retardataires_2	8	266935	88	10535	3.94665367973477	NA
retardataires_2	9	262361	107	13363	5.09336372402911	NA
retardataires_2	10	247093	81	10004	4.04867802811087	NA
retardataires_2	11	335409	87	8424	2.51156051268749	NA
retardataires_2	12	293654	54	2580	0.878585001396201	NA
retardataires_2	13	359530	93	5320	1.47970962089394	NA
retardataires_2	14	339425	143	11221	3.30588495249319	NA
retardataires_2	15	347742	83	4803	1.38119640423072	NA
retardataires_2	16	374031	127	7140	1.90893268205042	NA
retardataires_2	17	288589	86	6031	2.08982324343617	NA
retardataires_2	18	293712	41	3250	1.10652612082584	NA
retardataires_2	19	246591	23	2301	0.933124079954256	NA
retardataires_2	20	294515	49	3476	1.18024548834525	NA
retardataires_2	21	377650	29	1565	0.414404872236198	NA
retardataires_2	22	256935	23	1252	0.487282775799327	NA
retardataires_2	23	291851	18	756	0.259036289065311	NA
retardataires_2	24	1008	1	901	89.3849206349206	NA
