fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P06_2	1	265048	175	20086	7.57824997736259	NA
Mock_P06_2	2	184771	135	17172	9.29366621385391	NA
Mock_P06_2	3	310142	180	24228	7.81190551424831	NA
Mock_P06_2	4	241887	118	16303	6.73992401410576	NA
Mock_P06_2	5	326092	176	19588	6.00689376004318	NA
Mock_P06_2	6	354183	219	19439	5.48840571117191	NA
Mock_P06_2	7	298339	195	18562	6.22178126225535	NA
Mock_P06_2	8	311400	164	15869	5.09601798330122	NA
Mock_P06_2	9	336191	162	18028	5.36242790556559	NA
Mock_P06_2	10	332179	176	20214	6.0852733014429	NA
Mock_P06_2	11	286522	155	12772	4.45759836940968	NA
Mock_P06_2	12	325891	159	20485	6.28584403987836	NA
Mock_P06_2	13	277192	167	16946	6.11345204767814	NA
Mock_P06_2	14	306539	113	14924	4.86854853705401	NA
Mock_P06_2	15	285786	99	11134	3.89592212354699	NA
Mock_P06_2	16	305024	152	22825	7.48301772975241	NA
Mock_P06_2	17	253981	108	12553	4.94249569849713	NA
Mock_P06_2	18	237703	177	20346	8.55942078980913	NA
Mock_P06_2	19	267684	131	14618	5.46091660315895	NA
Mock_P06_2	20	217953	104	11484	5.26902589090308	NA
Mock_P06_2	21	181000	103	11462	6.33259668508287	NA
Mock_P06_2	22	241334	129	13514	5.59970828809865	NA
Mock_P06_2	23	292988	137	16074	5.48623151801439	NA
