fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P02_2	1	304848	134	11229	3.68347504330027	NA
Mock_P02_2	2	332957	172	17434	5.23611156996249	NA
Mock_P02_2	3	297544	168	18268	6.13959616056785	NA
Mock_P02_2	4	322143	160	16069	4.98815743318961	NA
Mock_P02_2	5	335376	192	21517	6.41578407518725	NA
Mock_P02_2	6	294861	184	15803	5.35947446423908	NA
Mock_P02_2	7	292363	131	10375	3.54867065941997	NA
Mock_P02_2	8	146492	73	4808	3.28209048958305	NA
Mock_P02_2	9	293798	170	14263	4.85469608370377	NA
Mock_P02_2	10	336471	186	11926	3.54443622184378	NA
Mock_P02_2	11	313750	120	11262	3.58948207171315	NA
Mock_P02_2	12	207044	81	7192	3.47365777322695	NA
Mock_P02_2	13	302434	165	18001	5.95204242909197	NA
Mock_P02_2	14	315073	112	11550	3.66581712809412	NA
Mock_P02_2	15	259050	129	15653	6.04246284501062	NA
Mock_P02_2	16	218807	113	11973	5.47194559589044	NA
Mock_P02_2	17	252673	160	16942	6.705108974841	NA
Mock_P02_2	18	272051	171	17068	6.27382365806411	NA
Mock_P02_2	19	364961	207	20805	5.70060910617847	NA
Mock_P02_2	20	340400	182	20480	6.01645123384254	NA
Mock_P02_2	21	346378	202	19529	5.63806015393587	NA
Mock_P02_2	22	333354	186	19156	5.74644372048933	NA
Mock_P02_2	23	366803	279	29726	8.10407766566795	NA
Mock_P02_2	24	336749	147	14231	4.22599621676679	NA
