fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P04_1	1	331584	3	281	0.0847447403976066	NA
Mock_P04_1	2	357822	2	422	0.117935733409349	NA
Mock_P04_1	3	335165	2	465	0.138737636686408	NA
Mock_P04_1	4	267103	1	237	0.0887298158388337	NA
Mock_P04_1	5	246810	1	299	0.121145820671772	NA
Mock_P04_1	6	364005	223	17828	4.89773492122361	NA
Mock_P04_1	7	381084	186	19494	5.11540762666499	NA
Mock_P04_1	8	379550	240	25470	6.71057831642735	NA
Mock_P04_1	9	372906	206	21591	5.78993097456195	NA
Mock_P04_1	10	399881	205	20147	5.03824887904151	NA
Mock_P04_1	11	375348	247	20962	5.58468407984057	NA
Mock_P04_1	12	383055	2	417	0.108861651721032	NA
Mock_P04_1	13	332760	1	354	0.106382978723404	NA
Mock_P04_1	14	312282	3	295	0.0944658994114294	NA
Mock_P04_1	15	344650	2	314	0.0911069200638329	NA
Mock_P04_1	16	336804	2	337	0.100058194083206	NA
Mock_P04_1	17	336630	2	352	0.104565843804771	NA
Mock_P04_1	18	245139	122	9043	3.68892750643512	NA
Mock_P04_1	19	208294	87	7420	3.56227255705877	NA
Mock_P04_1	20	267206	94	5582	2.0890249470446	NA
Mock_P04_1	21	309516	189	17362	5.60940306801587	NA
Mock_P04_1	22	284004	84	8108	2.85488936775538	NA
Mock_P04_1	23	326854	147	13899	4.2523573216176	NA
