fichier	leaf	surfaceLeaf	surfaceLesion
Mock_P06_1	1	258762	31
Mock_P06_1	2	299568	450
Mock_P06_1	3	253378	0
Mock_P06_1	4	256845	0
Mock_P06_1	5	268159	127
Mock_P06_1	6	212474	20
Mock_P06_1	7	259524	71
Mock_P06_1	7	259524	67
Mock_P06_1	7	259524	78
Mock_P06_1	7	259524	50
Mock_P06_1	7	259524	61
Mock_P06_1	7	259524	37
Mock_P06_1	7	259524	54
Mock_P06_1	7	259524	120
Mock_P06_1	7	259524	80
Mock_P06_1	7	259524	107
Mock_P06_1	7	259524	53
Mock_P06_1	7	259524	61
Mock_P06_1	7	259524	64
Mock_P06_1	7	259524	101
Mock_P06_1	7	259524	70
Mock_P06_1	7	259524	87
Mock_P06_1	7	259524	130
Mock_P06_1	7	259524	79
Mock_P06_1	7	259524	109
Mock_P06_1	7	259524	31
Mock_P06_1	7	259524	11
Mock_P06_1	7	259524	107
Mock_P06_1	7	259524	52
Mock_P06_1	7	259524	104
Mock_P06_1	7	259524	25
Mock_P06_1	7	259524	105
Mock_P06_1	7	259524	239
Mock_P06_1	7	259524	108
Mock_P06_1	7	259524	78
Mock_P06_1	7	259524	87
Mock_P06_1	7	259524	89
Mock_P06_1	7	259524	61
Mock_P06_1	7	259524	101
Mock_P06_1	7	259524	24
Mock_P06_1	7	259524	91
Mock_P06_1	7	259524	193
Mock_P06_1	7	259524	96
Mock_P06_1	7	259524	165
Mock_P06_1	7	259524	29
Mock_P06_1	7	259524	92
Mock_P06_1	7	259524	70
Mock_P06_1	7	259524	39
Mock_P06_1	7	259524	88
Mock_P06_1	7	259524	67
Mock_P06_1	7	259524	113
Mock_P06_1	7	259524	103
Mock_P06_1	7	259524	213
Mock_P06_1	7	259524	76
Mock_P06_1	7	259524	81
Mock_P06_1	7	259524	65
Mock_P06_1	7	259524	22
Mock_P06_1	7	259524	72
Mock_P06_1	7	259524	104
Mock_P06_1	7	259524	62
Mock_P06_1	7	259524	74
Mock_P06_1	7	259524	124
Mock_P06_1	7	259524	53
Mock_P06_1	7	259524	176
Mock_P06_1	7	259524	32
Mock_P06_1	7	259524	148
Mock_P06_1	7	259524	108
Mock_P06_1	7	259524	108
Mock_P06_1	7	259524	73
Mock_P06_1	7	259524	75
