fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P08_1	1	317378	192	20673	6.51368399826075	NA
Mock_P08_1	2	360214	95	9239	2.56486421960279	NA
Mock_P08_1	3	378569	36	3285	0.867741415699648	NA
Mock_P08_1	4	391442	156	13497	3.44802039638056	NA
Mock_P08_1	5	362356	99	6896	1.90310081798011	NA
Mock_P08_1	6	359301	139	17385	4.83856154032413	NA
Mock_P08_1	7	294298	4	123	0.0417943716912789	NA
Mock_P08_1	8	329227	3	47	0.0142758643732136	NA
Mock_P08_1	9	280799	6	294	0.104701227568474	NA
Mock_P08_1	10	305166	3	56	0.0183506681609354	NA
Mock_P08_1	11	254934	4	55	0.02157421136451	NA
Mock_P08_1	12	308285	2	29	0.009406879997405	NA
Mock_P08_1	13	295377	75	5491	1.85898021850043	NA
Mock_P08_1	14	325839	87	6127	1.88037650496104	NA
Mock_P08_1	15	353936	116	6120	1.729126169703	NA
Mock_P08_1	16	343330	61	4346	1.26583753240323	NA
Mock_P08_1	17	336530	95	6307	1.87412712091047	NA
Mock_P08_1	18	301230	71	5725	1.90054111476281	NA
Mock_P08_1	19	337305	155	12668	3.75565141340923	NA
Mock_P08_1	20	357575	155	13336	3.72956722365937	NA
Mock_P08_1	21	364891	109	11035	3.0241907857415	NA
Mock_P08_1	22	390849	137	12561	3.213773093957	NA
Mock_P08_1	23	365096	134	14535	3.98114468523347	NA
Mock_P08_1	24	368468	135	13758	3.73383848800981	NA
