fichier	leaf	surfaceLeaf	surfaceLesion
Chi5	1	8664817	4380
Chi5	1	8664817	241
Chi5	1	8664817	37
Chi5	1	8664817	176
Chi5	1	8664817	162
Chi5	1	8664817	165
Chi5	1	8664817	149
Chi5	1	8664817	179
Chi5	1	8664817	222
Chi5	1	8664817	116
Chi5	1	8664817	198
Chi5	1	8664817	288
Chi5	1	8664817	340
Chi5	1	8664817	105
Chi5	1	8664817	199
Chi5	1	8664817	71
Chi5	1	8664817	158
Chi5	1	8664817	156
Chi5	1	8664817	256
Chi5	1	8664817	244
Chi5	1	8664817	196
Chi5	1	8664817	41
Chi5	1	8664817	124
Chi5	1	8664817	183
Chi5	1	8664817	183
Chi5	1	8664817	199
Chi5	1	8664817	212
Chi5	1	8664817	1150
Chi5	1	8664817	183
Chi5	1	8664817	243
Chi5	1	8664817	168
Chi5	1	8664817	233
Chi5	1	8664817	119
Chi5	1	8664817	3280
Chi5	1	8664817	153
Chi5	1	8664817	188
Chi5	1	8664817	52
Chi5	1	8664817	146
Chi5	1	8664817	101
Chi5	1	8664817	202
Chi5	1	8664817	170
Chi5	1	8664817	31
Chi5	1	8664817	154
Chi5	1	8664817	247
Chi5	1	8664817	262
Chi5	1	8664817	175
Chi5	1	8664817	228
Chi5	1	8664817	189
Chi5	1	8664817	172
Chi5	1	8664817	152
Chi5	1	8664817	113
Chi5	1	8664817	177
Chi5	1	8664817	169
Chi5	1	8664817	225
Chi5	1	8664817	427
Chi5	1	8664817	167
Chi5	1	8664817	216
Chi5	1	8664817	230
Chi5	1	8664817	90
Chi5	1	8664817	270
Chi5	1	8664817	303
Chi5	1	8664817	228
Chi5	1	8664817	36
Chi5	1	8664817	206
Chi5	1	8664817	265
Chi5	1	8664817	272
Chi5	1	8664817	76
Chi5	1	8664817	205
Chi5	1	8664817	297
Chi5	1	8664817	279
Chi5	1	8664817	127
Chi5	1	8664817	67
Chi5	1	8664817	163
Chi5	1	8664817	242
Chi5	1	8664817	269
Chi5	1	8664817	197
Chi5	1	8664817	192
Chi5	1	8664817	206
Chi5	1	8664817	97
Chi5	1	8664817	144
Chi5	1	8664817	222
Chi5	1	8664817	211
Chi5	1	8664817	226
Chi5	1	8664817	229
Chi5	1	8664817	174
Chi5	1	8664817	1556
Chi5	1	8664817	155
Chi5	1	8664817	230
Chi5	1	8664817	179
Chi5	1	8664817	136
Chi5	1	8664817	161
Chi5	1	8664817	262
Chi5	1	8664817	31
Chi5	1	8664817	300
Chi5	1	8664817	198
Chi5	1	8664817	79
Chi5	1	8664817	177
Chi5	1	8664817	182
