fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P04_2	1	327857	155	10273	3.13337827162452	NA
Mock_P04_2	2	327682	76	3613	1.1025933679604	NA
Mock_P04_2	3	322070	112	5049	1.56767162418108	NA
Mock_P04_2	4	286980	141	9186	3.20091992473343	NA
Mock_P04_2	5	237989	96	6136	2.57827042426331	NA
Mock_P04_2	6	258380	109	9186	3.55522873287406	NA
Mock_P04_2	7	168938	91	8280	4.9012063597296	NA
Mock_P04_2	8	267116	195	16592	6.21153356594139	NA
Mock_P04_2	9	321238	169	18986	5.91025968285197	NA
Mock_P04_2	10	341972	189	18236	5.33260032985157	NA
Mock_P04_2	11	346084	146	17371	5.01930167242635	NA
Mock_P04_2	12	303614	126	14735	4.85320176276456	NA
Mock_P04_2	13	293467	129	14060	4.79099864720735	NA
Mock_P04_2	14	362704	225	22974	6.33409060831973	NA
Mock_P04_2	15	356243	192	16791	4.71335577120112	NA
Mock_P04_2	16	308383	184	16398	5.3174137355172	NA
Mock_P04_2	17	260486	171	17694	6.79268751487604	NA
Mock_P04_2	18	287928	103	8290	2.87919202022728	NA
Mock_P04_2	19	231894	101	8556	3.68961680767937	NA
Mock_P04_2	20	280001	117	12889	4.60319784572198	NA
Mock_P04_2	21	305556	127	13803	4.51733888387071	NA
