fichier	leaf	surfaceLeaf	surfaceLesion
Chi16	1	9679961	37
Chi16	1	9679961	41
Chi16	1	9679961	140
Chi16	1	9679961	207
Chi16	1	9679961	147
Chi16	1	9679961	168
Chi16	1	9679961	166
Chi16	1	9679961	168
Chi16	1	9679961	185
Chi16	1	9679961	87
Chi16	1	9679961	135
Chi16	1	9679961	128
Chi16	1	9679961	186
Chi16	1	9679961	207
Chi16	1	9679961	115
Chi16	1	9679961	175
Chi16	1	9679961	124
Chi16	1	9679961	102
Chi16	1	9679961	72
Chi16	1	9679961	266
Chi16	1	9679961	31
Chi16	1	9679961	135
Chi16	1	9679961	175
Chi16	1	9679961	191
Chi16	1	9679961	217
Chi16	1	9679961	49
Chi16	1	9679961	136
Chi16	1	9679961	98
Chi16	1	9679961	108
Chi16	1	9679961	112
Chi16	1	9679961	185
Chi16	1	9679961	140
Chi16	1	9679961	116
Chi16	1	9679961	220
Chi16	1	9679961	191
Chi16	1	9679961	322
Chi16	1	9679961	133
Chi16	1	9679961	51
Chi16	1	9679961	107
Chi16	1	9679961	96
Chi16	1	9679961	150
Chi16	1	9679961	253
Chi16	1	9679961	170
Chi16	1	9679961	338
Chi16	1	9679961	128
Chi16	1	9679961	10
Chi16	1	9679961	125
Chi16	1	9679961	148
Chi16	1	9679961	298
Chi16	1	9679961	175
Chi16	1	9679961	184
Chi16	1	9679961	148
Chi16	1	9679961	139
Chi16	1	9679961	163
Chi16	1	9679961	99
Chi16	1	9679961	119
Chi16	1	9679961	4909
Chi16	1	9679961	233
Chi16	1	9679961	253
Chi16	1	9679961	33
Chi16	1	9679961	108
Chi16	1	9679961	101
Chi16	1	9679961	66
Chi16	1	9679961	91
Chi16	1	9679961	12
Chi16	1	9679961	109
Chi16	1	9679961	145
Chi16	1	9679961	150
Chi16	1	9679961	88
Chi16	1	9679961	114
Chi16	1	9679961	112
Chi16	1	9679961	187
Chi16	1	9679961	204
Chi16	1	9679961	134
Chi16	1	9679961	188
Chi16	1	9679961	241
Chi16	1	9679961	140
Chi16	1	9679961	155
Chi16	1	9679961	116
Chi16	1	9679961	121
Chi16	1	9679961	11
Chi16	1	9679961	119
Chi16	1	9679961	140
Chi16	1	9679961	202
Chi16	1	9679961	213
Chi16	1	9679961	136
Chi16	1	9679961	89
Chi16	1	9679961	122
Chi16	1	9679961	113
Chi16	1	9679961	56
Chi16	1	9679961	222
Chi16	1	9679961	92
Chi16	1	9679961	133
Chi16	1	9679961	219
Chi16	1	9679961	65
Chi16	1	9679961	228
Chi16	1	9679961	102
Chi16	1	9679961	305
Chi16	1	9679961	116
Chi16	1	9679961	92
Chi16	1	9679961	81
Chi16	1	9679961	215
Chi16	1	9679961	179
Chi16	1	9679961	112
Chi16	1	9679961	222
Chi16	1	9679961	177
Chi16	1	9679961	152
Chi16	1	9679961	69
Chi16	1	9679961	136
Chi16	1	9679961	155
Chi16	1	9679961	8479
Chi16	1	9679961	237
Chi16	1	9679961	214
Chi16	1	9679961	132
Chi16	1	9679961	40
Chi16	1	9679961	265
Chi16	1	9679961	163
Chi16	1	9679961	256
Chi16	1	9679961	246
Chi16	1	9679961	127
Chi16	1	9679961	120
Chi16	1	9679961	214
Chi16	1	9679961	180
Chi16	1	9679961	103
Chi16	1	9679961	176
Chi16	1	9679961	266
Chi16	1	9679961	153
Chi16	1	9679961	116
Chi16	1	9679961	127
Chi16	1	9679961	151
Chi16	1	9679961	187
Chi16	1	9679961	166
Chi16	1	9679961	254
Chi16	1	9679961	182
Chi16	1	9679961	98
Chi16	1	9679961	126
Chi16	1	9679961	233
Chi16	1	9679961	155
Chi16	1	9679961	133
Chi16	1	9679961	93
Chi16	1	9679961	123
Chi16	1	9679961	98
Chi16	1	9679961	206
Chi16	1	9679961	215
Chi16	1	9679961	131
Chi16	1	9679961	217
Chi16	1	9679961	172
Chi16	1	9679961	63
Chi16	1	9679961	118
Chi16	1	9679961	106
Chi16	1	9679961	212
Chi16	1	9679961	216
Chi16	1	9679961	97
Chi16	1	9679961	89
Chi16	1	9679961	83
Chi16	1	9679961	210
Chi16	1	9679961	267
Chi16	1	9679961	143
Chi16	1	9679961	269
Chi16	1	9679961	339
Chi16	1	9679961	178
Chi16	1	9679961	484
Chi16	1	9679961	223
Chi16	1	9679961	127
Chi16	1	9679961	148
Chi16	1	9679961	115
Chi16	1	9679961	190
Chi16	1	9679961	12
Chi16	1	9679961	203
Chi16	1	9679961	143
Chi16	1	9679961	213
Chi16	1	9679961	66
Chi16	1	9679961	165
Chi16	1	9679961	88
Chi16	1	9679961	118
Chi16	1	9679961	165
Chi16	1	9679961	254
Chi16	1	9679961	266
Chi16	1	9679961	190
Chi16	1	9679961	310
Chi16	1	9679961	159
Chi16	1	9679961	155
Chi16	1	9679961	133
Chi16	1	9679961	188
Chi16	1	9679961	69
Chi16	1	9679961	288
Chi16	1	9679961	118
Chi16	1	9679961	184
Chi16	1	9679961	230
Chi16	1	9679961	134
Chi16	1	9679961	138
Chi16	1	9679961	197
Chi16	1	9679961	167
Chi16	1	9679961	280
Chi16	1	9679961	222
Chi16	1	9679961	147
Chi16	1	9679961	76
Chi16	1	9679961	10561
Chi16	1	9679961	132
Chi16	1	9679961	193
Chi16	1	9679961	176
Chi16	1	9679961	217
Chi16	1	9679961	199
Chi16	1	9679961	242
Chi16	1	9679961	545
Chi16	1	9679961	201
Chi16	1	9679961	51
Chi16	1	9679961	212
Chi16	1	9679961	146
Chi16	1	9679961	172
Chi16	1	9679961	110
Chi16	1	9679961	169
Chi16	1	9679961	192
Chi16	1	9679961	175
Chi16	1	9679961	99
Chi16	1	9679961	129
Chi16	1	9679961	96
Chi16	1	9679961	58
Chi16	1	9679961	223
Chi16	1	9679961	48
Chi16	1	9679961	171
Chi16	1	9679961	169
Chi16	1	9679961	288
