fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P09_1	1	309542	143	16578	5.35565448307499	NA
Mock_P09_1	2	305675	131	10297	3.36861045227775	NA
Mock_P09_1	3	210186	101	11738	5.58457746947941	NA
Mock_P09_1	4	239863	99	12924	5.38807569320821	NA
Mock_P09_1	5	259995	113	10928	4.20315775303371	NA
Mock_P09_1	6	248885	112	14056	5.64758824356631	NA
Mock_P09_1	7	329686	117	12102	3.67076551627913	NA
Mock_P09_1	8	244361	83	8473	3.46741092072794	NA
Mock_P09_1	9	339418	174	19703	5.80493668573853	NA
Mock_P09_1	10	292196	141	18074	6.18557406672234	NA
Mock_P09_1	11	292029	86	9024	3.09010406500724	NA
Mock_P09_1	12	265822	122	14901	5.60563083567199	NA
Mock_P09_1	13	318976	119	13487	4.22821779695024	NA
Mock_P09_1	14	319271	127	15530	4.86420626990864	NA
Mock_P09_1	15	308450	131	18103	5.86902253201491	NA
Mock_P09_1	16	300037	125	17965	5.98759486330019	NA
Mock_P09_1	17	296364	114	15302	5.16324519847215	NA
Mock_P09_1	18	320560	129	14661	4.57355877214874	NA
Mock_P09_1	19	185217	1	10	0.00539907243935492	NA
Mock_P09_1	20	328658	2	60	0.0182560594904125	NA
Mock_P09_1	21	274711	1	0	0	0
Mock_P09_1	22	311824	4	289	0.0926804864282416	NA
Mock_P09_1	23	323469	10	463	0.143135818270066	NA
Mock_P09_1	24	358449	1	15	0.00418469573077342	NA
