fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P11_1	1	16302	2	14806	90.8232118758435	NA
Mock_P11_1	2	292513	92	8739	2.98755952726887	NA
Mock_P11_1	3	313503	132	17826	5.68606998976086	NA
Mock_P11_1	4	334837	111	12926	3.86038579965774	NA
Mock_P11_1	5	361683	103	12152	3.35984826491707	NA
Mock_P11_1	6	301817	100	10435	3.45739305605715	NA
Mock_P11_1	7	330615	143	19972	6.04086323971992	NA
Mock_P11_1	8	320409	92	13081	4.08259443398906	NA
Mock_P11_1	9	322871	131	17240	5.33959383159218	NA
Mock_P11_1	10	333077	134	19687	5.91064528622511	NA
Mock_P11_1	11	326990	118	15359	4.69708553778403	NA
Mock_P11_1	12	321955	106	16274	5.05474367535836	NA
Mock_P11_1	13	282308	117	15398	5.45432648029811	NA
Mock_P11_1	14	365718	150	20880	5.70931701474907	NA
Mock_P11_1	15	253664	82	8904	3.51015516588873	NA
Mock_P11_1	16	319663	107	13099	4.09775294607133	NA
Mock_P11_1	17	331279	118	15319	4.62419893805523	NA
Mock_P11_1	18	282745	96	10776	3.81120797892094	NA
Mock_P11_1	19	318857	143	18033	5.65551328652029	NA
Mock_P11_1	20	213760	66	7956	3.72193113772455	NA
Mock_P11_1	21	289516	143	18912	6.53228146285525	NA
Mock_P11_1	22	194509	66	9515	4.89180449233712	NA
Mock_P11_1	23	249349	107	14094	5.65231863773266	NA
