fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P07_1	1	310379	87	7214	2.32425518479021	NA
Mock_P07_1	2	366832	178	15176	4.13704366031317	NA
Mock_P07_1	3	326425	150	15287	4.6831584590641	NA
Mock_P07_1	4	322181	123	14334	4.44905193043662	NA
Mock_P07_1	5	302252	97	9954	3.29327845638739	NA
Mock_P07_1	6	321367	168	20587	6.40607156304163	NA
Mock_P07_1	7	305152	58	3065	1.00441747063758	NA
Mock_P07_1	8	287475	54	3632	1.2634142099313	NA
Mock_P07_1	9	288120	82	5413	1.87873108427044	NA
Mock_P07_1	10	278381	63	5180	1.86075917537476	NA
Mock_P07_1	11	286770	62	4388	1.5301461101231	NA
Mock_P07_1	12	276211	84	5716	2.06943242665933	NA
Mock_P07_1	13	301984	119	9831	3.2554704885027	NA
Mock_P07_1	14	264747	119	13900	5.25029556519998	NA
Mock_P07_1	15	317345	119	12618	3.97611432352802	NA
Mock_P07_1	16	245757	68	8455	3.44039030424362	NA
Mock_P07_1	17	356616	167	19524	5.47479641967831	NA
Mock_P07_1	18	321213	136	15089	4.69750601625713	NA
