fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P10_1	1	310977	141	11715	3.76715962916872	NA
Mock_P10_1	2	317833	175	18682	5.87792960454075	NA
Mock_P10_1	3	167570	69	5970	3.56269021901295	NA
Mock_P10_1	4	190354	64	5121	2.69025079588556	NA
Mock_P10_1	5	308348	181	17132	5.55606003606315	NA
Mock_P10_1	6	316968	166	16422	5.18096463996366	NA
Mock_P10_1	7	265698	150	12342	4.64512341078969	NA
Mock_P10_1	8	276391	160	13240	4.79031516945197	NA
Mock_P10_1	9	298925	166	18760	6.27582169440495	NA
Mock_P10_1	10	303631	191	24049	7.9204692537982	NA
Mock_P10_1	11	317997	123	17542	5.51640424280732	NA
Mock_P10_1	12	295956	149	18887	6.38169187311627	NA
Mock_P10_1	13	233823	116	13050	5.58114471202576	NA
Mock_P10_1	14	232532	98	10244	4.40541516866496	NA
Mock_P10_1	15	276976	171	14465	5.22247414938478	NA
Mock_P10_1	16	256893	118	13136	5.11341297738747	NA
Mock_P10_1	17	276388	149	13503	4.88552324992402	NA
Mock_P10_1	18	266353	162	17044	6.39902685533859	NA
Mock_P10_1	19	307130	105	12969	4.2226418780321	NA
Mock_P10_1	20	248994	98	15477	6.21581242921516	NA
Mock_P10_1	21	330294	139	18803	5.69280701435691	NA
Mock_P10_1	22	263214	90	14116	5.36293662191221	NA
Mock_P10_1	23	289759	136	18260	6.30178872787385	NA
Mock_P10_1	24	295575	88	12283	4.15562885900364	NA
